load_case_id,node_id,x_m,ux_mm,uy_mm,uz_mm,translation_mm
LC-STR-01,1,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,2,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,3,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,4,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,5,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,6,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,7,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,8,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,9,-18.5,-0.03556987661602463,0.0006383366098387699,0.0859020919132124,0.09297737892182521
LC-STR-01,10,-18.5,-0.03556234683153154,-0.060412088134372065,0.06103764492816734,0.09295103551493288
LC-STR-01,11,-18.5,-0.03556408363644075,-0.08597217531542203,0.0003572640125318977,0.0930384147056476
LC-STR-01,12,-18.5,-0.035585801046854396,-0.06124129352697198,-0.06037842192779213,0.09307201031187375
LC-STR-01,13,-18.5,-0.03556987661602624,-0.0006383366098387052,-0.08590209191321617,0.0929773789218293
LC-STR-01,14,-18.5,-0.035562346831533385,0.06041208813437172,-0.06103764492817127,0.09295103551493593
LC-STR-01,15,-18.5,-0.03556408363644171,0.08597217531542178,-0.00035726401253562265,0.09303841470564776
LC-STR-01,16,-18.5,-0.03558580104685389,0.06124129352697167,0.06037842192778854,0.09307201031187103
LC-STR-01,17,-16.0,-0.0711780261375986,0.0007951794444373849,-0.000343559006113837,0.07118329683278381
LC-STR-01,18,-16.0,-0.07117862450061317,0.0006190415725290198,3.3670198546617306e-05,0.07118132432000741
LC-STR-01,19,-16.0,-0.07117842373660568,0.00013539291328930493,-0.0001179504869214003,0.0711786502343654
LC-STR-01,20,-16.0,-0.071177426583549,-0.000655225035194501,0.0007658426812107451,0.0711845621600331
LC-STR-01,21,-16.0,-0.071178026137602,-0.0007951794444459538,0.00034355900611175797,0.07118329683278728
LC-STR-01,22,-16.0,-0.07117862450061713,-0.0006190415725377358,-3.367019854874408e-05,0.07118132432001145
LC-STR-01,23,-16.0,-0.07117842373660782,-0.00013539291329825364,0.00011795048691875376,0.07117865023436755
LC-STR-01,24,-16.0,-0.07117742658354809,0.0006552250351851887,-0.00076584268121249,0.07118456216003212
LC-STR-01,25,-13.5,-0.10678090065933231,0.0006582803903411932,0.08585735399449439,0.13701853638696637
LC-STR-01,26,-13.5,-0.10679136326633071,-0.06040074906452416,0.06098553831923569,0.13701051653038898
LC-STR-01,27,-13.5,-0.10679269525604462,-0.08594799369964096,0.00032786144479405124,0.1370833500982921
LC-STR-01,28,-13.5,-0.10676633764126042,-0.06123845376134483,-0.060347333048012146,0.13708026728313485
LC-STR-01,29,-13.5,-0.10678090065933717,-0.0006582803903577327,-0.0858573539945041,0.1370185363869763
LC-STR-01,30,-13.5,-0.10679136326633652,0.06040074906450832,-0.06098553831924523,0.13701051653039076
LC-STR-01,31,-13.5,-0.10679269525604788,0.08594799369962512,-0.00032786144480367164,0.13708335009828473
LC-STR-01,32,-13.5,-0.10676633764125931,0.06123845376132895,0.06034733304800231,0.13708026728312256
LC-STR-01,33,-11.0,-0.1423888487144392,0.0005582204539249858,-0.00034721472826631296,0.14239036626951332
LC-STR-01,34,-11.0,-0.14239919202390927,0.0005858724038775637,8.378295240681146e-05,0.1424004218923488
LC-STR-01,35,-11.0,-0.1424015515880893,0.0003204672907097826,0.0004568354796946185,0.1424026449636213
LC-STR-01,36,-11.0,-0.14238565254601748,-0.0001580580647774708,0.0006001414312754547,0.14238700503572857
LC-STR-01,37,-11.0,-0.14238884871444557,-0.0005582204539567432,0.00034721472825097427,0.14239036626951979
LC-STR-01,38,-11.0,-0.14239919202391707,-0.0005858724039094453,-8.378295242222166e-05,0.14240042189235672
LC-STR-01,39,-11.0,-0.14240155158809384,-0.00032046729074159893,-0.0004568354797099741,0.14240264496362595
LC-STR-01,40,-11.0,-0.14238565254601618,0.0001580580647456626,-0.000600141431290785,0.1423870050357273
LC-STR-01,41,-8.5,-0.1780005461952755,0.0005243925638708604,0.08589747133274409,0.19764322658451275
LC-STR-01,42,-8.5,-0.17800733803703206,-0.060378128634749825,0.0610894304625083,0.19764627324262463
LC-STR-01,43,-8.5,-0.17800958394046912,-0.08589941083480356,0.00048663386225244635,0.1976521124828702
LC-STR-01,44,-8.5,-0.17799995839336974,-0.06110428371576978,-0.06038559596086597,0.19764649978182663
LC-STR-01,45,-8.5,-0.17800054619528322,-0.0005243925639167961,-0.08589747133277281,0.19764322658453232
LC-STR-01,46,-8.5,-0.17800733803704155,0.06037812863470381,-0.06108943046253713,0.19764627324262804
LC-STR-01,47,-8.5,-0.17800958394047484,0.08589941083475763,-0.00048663386228110263,0.19765211248285547
LC-STR-01,48,-8.5,-0.17799995839336816,0.061104283715723864,0.06038559596083731,0.19764649978180227
LC-STR-01,49,-6.0,-0.21361745833709983,0.000506981908731797,-0.00037181954170544164,0.21361838354137494
