element_id,group,section_id,length_m,axial_force_N,torsion_Nm,bending_My_Nm,bending_Mz_Nm,screening_von_mises_MPa,yield_factor,member_euler_factor
1,SPINE_FRAME,2,1.3776603565143233,0.0,0.0,0.0,0.0,0.0,inf,inf
2,SPINE_FRAME,2,1.3776603565143233,0.0,0.0,0.0,0.0,0.0,inf,inf
3,SPINE_FRAME,2,1.3776603565143233,0.0,0.0,0.0,0.0,0.0,inf,inf
4,SPINE_FRAME,2,1.3776603565143233,0.0,0.0,0.0,0.0,0.0,inf,inf
5,SPINE_FRAME,2,1.3776603565143233,0.0,0.0,0.0,0.0,0.0,inf,inf
6,SPINE_FRAME,2,1.3776603565143233,0.0,0.0,0.0,0.0,0.0,inf,inf
7,SPINE_FRAME,2,1.3776603565143233,0.0,0.0,0.0,0.0,0.0,inf,inf
8,SPINE_FRAME,2,1.3776603565143233,0.0,0.0,0.0,0.0,0.0,inf,inf
9,SPINE_LONGERON,1,2.5,-0.000622129716772149,1.3975660089122112e-06,1.2078054176020456e-05,0.00018553827192601665,1.940227216184826e-06,259247986.93890923,1568519704.148959
10,SPINE_DIAGONAL,3,2.854461080118482,-1.9997723286366467e-05,3.0123135449877344e-06,-1.3213921782712612e-05,1.065919220055464e-05,6.332931730352145e-07,794260891.1908016,6046123312.9222975
11,SPINE_LONGERON,1,2.5,0.00023445663405850434,7.689920355781289e-06,-0.00010425921233763847,0.00011474438339325098,1.5211261691791596e-06,330676054.48628384,4162060601.1524854
12,SPINE_DIAGONAL,3,2.854461080118482,-0.00011048883304859062,3.810232044178796e-06,-2.3200789447862816e-05,-5.104369916976648e-06,9.521903692614886e-07,528255710.45223117,1094306977.736803
13,SPINE_LONGERON,1,2.5,0.0005233599901375242,1.1392910213884647e-05,-0.00021528330227685836,-9.204054970958629e-06,2.1823759429091758e-06,230482745.94224367,1864534426.9387276
14,SPINE_DIAGONAL,3,2.854461080118482,1.169919280311353e-05,1.4623125918206623e-06,-1.617050354152107e-05,-2.007252441439733e-05,9.365558864252256e-07,537074196.3086891,10334790015.161707
15,SPINE_LONGERON,1,2.5,-0.00017800252559900632,-3.537643646701122e-06,-0.00011872322161890692,-0.00015123218068694358,1.8462235598877647e-06,272448045.25762755,5482072324.591637
16,SPINE_DIAGONAL,3,2.854461080118482,0.0001549266117854706,2.6735313878837878e-06,-1.2676823325070064e-06,-2.29670238374347e-05,9.581688927276386e-07,524959643.14610535,780425645.237073
17,SPINE_LONGERON,1,2.5,-0.0006221305951065592,1.3975661011879684e-06,-1.2078062619903486e-05,-0.00018553827272757217,1.9402275312784313e-06,259247944.83694875,1568517489.6865294
18,SPINE_DIAGONAL,3,2.854461080118482,-1.9997824599461635e-05,3.0123136829511907e-06,1.3213920888549686e-05,-1.0659192244026093e-05,6.33293232976429e-07,794260816.0139956,6046092682.017243
19,SPINE_LONGERON,1,2.5,0.00023445628615822498,7.689920272341202e-06,0.00010425920666898936,-0.0001147443824802393,1.5211260077794066e-06,330676089.572814,4162066777.0672774
20,SPINE_DIAGONAL,3,2.854461080118482,-0.00011048896289472002,3.81023206601548e-06,2.3200788408374896e-05,5.104370205789001e-06,9.521904421758893e-07,528255670.0008185,1094305691.7121928
21,SPINE_LONGERON,1,2.5,0.0005233603868386976,1.1392910138034511e-05,0.00021528329429581288,9.204058969746462e-06,2.1823760070573013e-06,230482739.16750085,1864533013.643007
22,SPINE_DIAGONAL,3,2.854461080118482,1.1699092966823014e-05,1.462312468608497e-06,1.6170502378851955e-05,2.0072524808133647e-05,9.36555788412542e-07,537074252.5147197,10334878208.930342
23,SPINE_LONGERON,1,2.5,-0.0001780016410387447,-3.53764384274328e-06,0.00011872321150477663,0.00015123218338404737,1.8462232169497316e-06,272448095.86515754,5482099567.168174
24,SPINE_DIAGONAL,3,2.854461080118482,0.00015492661889537096,2.673531201005959e-06,1.2676811693804308e-06,2.2967023880208885e-05,9.58168897329124e-07,524959640.62505287,780425609.4217391
25,SPINE_FRAME,2,1.3776603565143233,0.00011980737753619251,4.520809415789335e-06,9.563492515374062e-06,4.039562214302655e-05,7.663688289586418e-07,656341934.8402871,11953780070.625006
26,SPINE_FRAME,2,1.3776603565143233,0.0003035941961186666,5.940601090357522e-06,4.1988246239865295e-05,-3.543484941564747e-05,1.0878557207182838e-06,462377492.1805639,4717320226.194956
27,SPINE_FRAME,2,1.3776603565143233,-0.0008148146969760366,6.137795976015198e-06,3.331299664878683e-05,2.94172999573574e-05,1.1705113896531854e-06,429726702.7440335,1757640169.2569163
28,SPINE_FRAME,2,1.3776603565143233,-0.0002415573411636688,3.2636294261183587e-06,-4.328976332177399e-05,4.07528704808387e-05,1.1301375914954455e-06,445078549.5369721,5928824332.172213
