mode,frequency_Hz,source
1,0.1964088051840446,Independent Python frame screening; approximate lumped mass
2,0.19644133264213973,Independent Python frame screening; approximate lumped mass
3,0.2213052556499484,Independent Python frame screening; approximate lumped mass
4,0.22133270851902045,Independent Python frame screening; approximate lumped mass
5,0.22990069165409538,Independent Python frame screening; approximate lumped mass
6,0.25877996892656085,Independent Python frame screening; approximate lumped mass
7,0.30563870170112994,Independent Python frame screening; approximate lumped mass
8,0.4011941565582085,Independent Python frame screening; approximate lumped mass
9,0.4025482045274537,Independent Python frame screening; approximate lumped mass
10,0.4029063455552414,Independent Python frame screening; approximate lumped mass
11,0.44029449537109216,Independent Python frame screening; approximate lumped mass
12,0.44660093940522827,Independent Python frame screening; approximate lumped mass
