load_case_id,node_id,x_m,ux_mm,uy_mm,uz_mm,translation_mm
LC-STR-01,1,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,2,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,3,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,4,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,5,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,6,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,7,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,8,-21.0,0.0,0.0,0.0,0.0
LC-STR-01,9,-18.5,-0.03788586587568836,0.004029023554034704,0.06822833740864305,0.07814523587204313
LC-STR-01,10,-18.5,-0.03773251217269231,-0.05043418042885555,0.0421033738500698,0.07576307227107063
LC-STR-01,11,-18.5,-0.03364038556256457,-0.06506597916418734,0.002152346077915203,0.07327953178774807
LC-STR-01,12,-18.5,-0.03724765944458091,-0.04075371144912318,-0.055863104569817384,0.07854259725242235
LC-STR-01,13,-18.5,-0.037885865875693515,-0.0040290235540369175,-0.06822833740865814,0.0781452358720589
LC-STR-01,14,-18.5,-0.037732512172699254,0.05043418042885502,-0.04210337385008413,0.0757630722710817
LC-STR-01,15,-18.5,-0.033640385562568674,0.06506597916418577,-0.0021523460779315634,0.07327953178774904
LC-STR-01,16,-18.5,-0.037247659444580486,0.04075371144912077,0.0558631045698027,0.07854259725241046
LC-STR-01,17,-16.0,-0.06788658751257683,0.02564156045567867,0.025097859667953994,0.07678529121268791
LC-STR-01,18,-16.0,-0.0681914190835584,0.02833934767827279,0.03531266355562131,0.08185458124535255
LC-STR-01,19,-16.0,-0.0690070380856638,-0.0039003024682877445,-0.03716637635829415,0.0784762588067675
LC-STR-01,20,-16.0,-0.06852692015491883,-0.014223097367241417,-0.021692287270417613,0.07327203157862468
LC-STR-01,21,-16.0,-0.06788658751258451,-0.025641560455701422,-0.025097859667983727,0.07678529121271203
LC-STR-01,22,-16.0,-0.06819141908357021,-0.028339347678298852,-0.03531266355565334,0.08185458124538525
LC-STR-01,23,-16.0,-0.06900703808567278,0.003900302468264805,0.03716637635826885,0.07847625880676226
LC-STR-01,24,-16.0,-0.06852692015491961,0.014223097367220784,0.021692287270387328,0.07327203157861245
LC-STR-01,25,-13.5,-0.09765335510340066,0.002042763672025692,0.06674118028287572,0.11829934823117975
LC-STR-01,26,-13.5,-0.09851160353824145,-0.05409793195456755,0.03990116692827968,0.11926116465838797
LC-STR-01,27,-13.5,-0.10466709118801104,-0.0665880212875414,0.005155439796148712,0.124160151080132
LC-STR-01,28,-13.5,-0.09989272935509687,-0.04218055781770704,-0.052983803481720104,0.12068570862870671
LC-STR-01,29,-13.5,-0.09765335510341151,-0.0020427636720613492,-0.066741180282924,0.11829934823121659
LC-STR-01,30,-13.5,-0.09851160353825725,0.054097931954533204,-0.03990116692832734,0.11926116465840138
LC-STR-01,31,-13.5,-0.10466709118802317,0.06658802128750593,-0.005155439796198503,0.12416015108012528
LC-STR-01,32,-13.5,-0.0998927293550972,0.04218055781767065,0.05298380348167235,0.12068570862867331
LC-STR-01,33,-11.0,-0.13508923312342927,-0.0034662754018088466,-0.002211113512151165,0.1351517850196623
LC-STR-01,34,-11.0,-0.1366719645920539,-0.006841204420555954,-0.0031146934908303867,0.13687852022475
LC-STR-01,35,-11.0,-0.13881851557226796,-0.0022125951140435558,0.008683999666518,0.13910746814256514
LC-STR-01,36,-11.0,-0.13670782966758033,-0.000739842694945431,0.004191387107106429,0.1367740683957125
LC-STR-01,37,-11.0,-0.13508923312344254,0.0034662754017456402,0.0022111135120837636,0.13515178501967284
LC-STR-01,38,-11.0,-0.13667196459207456,0.006841204420493497,0.003114693490763273,0.13687852022476596
LC-STR-01,39,-11.0,-0.13881851557228383,0.0022125951139805315,-0.00868399966658662,0.13910746814258426
LC-STR-01,40,-11.0,-0.13670782966758194,0.0007398426948819701,-0.004191387107173784,0.13677406839571585
LC-STR-01,41,-8.5,-0.17275357204344713,-0.005611073092161396,0.06458730585230463,0.1845177521873579
LC-STR-01,42,-8.5,-0.17337560491801174,-0.049671382623464995,0.04678099752092939,0.18631910358700837
LC-STR-01,43,-8.5,-0.17412381878575367,-0.06636480656812543,0.007491482603568485,0.1864926650862126
LC-STR-01,44,-8.5,-0.17358201521750477,-0.04582624654346447,-0.042828730090009634,0.1845672262357414
LC-STR-01,45,-8.5,-0.17275357204346306,0.00561107309207623,-0.06458730585240324,0.1845177521874047
LC-STR-01,46,-8.5,-0.1733756049180359,0.0496713826233798,-0.0467809975210281,0.18631910358703294
LC-STR-01,47,-8.5,-0.17412381878577174,0.06636480656804028,-0.007491482603667297,0.1864926650862031
LC-STR-01,48,-8.5,-0.17358201521750605,0.045826246543379204,0.042828730089911095,0.18456722623569857
LC-STR-01,49,-6.0,-0.2099319736499691,-0.003974146554897026,-0.0007329791357670052,0.20997086621677924
LC-STR-01,50,-6.0,-0.21031080293100365,-0.002414178314162136,0.0003372117974172636,0.2103249290935631
