sequence,x_mm,y_or_z_mm,move
1,-110.0,-85.0,cut
2,-30.0,-20.0,cut
3,30.0,20.0,cut
4,110.0,85.0,cut
5,,,separator
6,-110.0,85.0,cut
7,-30.0,20.0,cut
8,30.0,-20.0,cut
9,110.0,-85.0,cut
