time_min,normal_240_m3_h_ppm,degraded_80_m3_h_ppm,fan_loss_from_nominal_ss_ppm
0.0,420.0,420.0,586.6666666666666
1.0,434.1754618783282,434.5974878057694,601.4814814814814
2.0,447.1452614398727,448.7688023110597,616.2962962962963
3.0,459.0119436058919,462.52638563498454,631.1111111111111
4.0,469.8693315679112,475.88231664929367,645.9259259259259
5.0,479.8032685950076,488.84832158337065,660.7407407407406
6.0,488.892296748328,501.43578431961816,675.5555555555555
7.0,497.20827786905784,513.6557563882698,690.3703703703703
8.0,504.81696174964077,525.5189666704034,705.1851851851851
9.0,511.778505980463,537.0358308176757,720.0
10.0,518.1479515821354,548.2164603970468,734.8148148148148
11.0,523.9756581839322,559.0706717685266,749.6296296296296
12.0,529.3077021890979,569.6079947037335,764.4444444444445
13.0,534.1862410750908,579.8376807528363,779.2592592592592
14.0,538.6498467090818,589.7687113672217,794.074074074074
15.0,542.7338103140455,599.4098057850226,808.8888888888889
16.0,546.4704214966414,608.7694286864274,823.7037037037037
17.0,549.8892235429992,617.8557976254924,838.5185185185185
18.0,553.0172470008907,626.6768902449841,853.3333333333333
19.0,555.8792233950911,635.2404512805824,868.148148148148
20.0,558.4977807656556,643.5539993605987,882.9629629629629
21.0,560.8936225751241,651.6248336071735,897.7777777777777
22.0,563.0856913991729,659.4600400447548,912.5925925925926
23.0,565.0913186949219,667.0664978214794,927.4074074074074
24.0,566.9263618310326,674.4508852489224,942.2222222222222
25.0,568.6053294630174,681.6196856655151,957.037037037037
26.0,570.1414962450291,688.5791931287813,971.8518518518518
27.0,571.5470077850979,695.3355179413892,986.6666666666666
28.0,572.832976673632,701.8945920158693,1001.4814814814815
29.0,574.0095703444291,708.2621740827108,1016.2962962962963
30.0,575.0860914628664,714.4438547464063,1031.111111111111
31.0,576.0710514768499,720.4450613938868,1045.9259259259259
32.0,576.972237912054,726.2710629596545,1060.7407407407406
33.0,577.796775943513,731.9269745517968,1075.5555555555557
34.0,578.5511847303791,737.4177619429453,1090.3703703703704
35.0,579.2414289592517,742.7482459301212,1105.1851851851852
36.0,579.8729660036056,747.9231065672939,1120.0
37.0,580.4507890721776,752.946887274371,1134.8148148148148
38.0,580.9794666874637,757.8239988262274,1149.6296296296296
39.0,581.4631788064614,762.5587232252726,1164.4444444444443
40.0,581.9057498692416,767.1552174609603,1179.2592592592591
41.0,582.3106790366484,771.6175171595385,1194.074074074074
42.0,582.6811678561991,775.9495401272453,1208.8888888888887
43.0,583.0201455749225,780.1550897900613,1223.7037037037037
44.0,583.3302922992698,784.2378585330383,1238.5185185185185
45.0,583.614060185211,788.2014309421367,1253.3333333333335
46.0,583.8736928260554,792.0492869514167,1268.1481481481483
