case_id,mach,altitude_m,alpha_deg,CL_screening,CD_screening,L_over_D_screening,Cm_screening,dynamic_pressure_Pa,Reynolds_number
CFD-SK-01,0.3,10000.0,-5.0,-0.296705972839036,0.03732482080457023,-7.949293966943999,-0.024528024488034025,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,-4.0,-0.23736477827122882,0.03288788531492495,-7.217392544345488,-0.026622419590427222,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,-3.0,-0.1780235837034216,0.029436935489645284,-6.047626247169752,-0.028716814692820416,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,-2.0,-0.11868238913561441,0.026971971328731238,-4.400211897348077,-0.030811209795213613,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,-1.0,-0.059341194567807204,0.02549299283218281,-2.327745312543054,-0.032905604897606806,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,0.0,0.0,0.025,0.0,-0.035,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,1.0,0.059341194567807204,0.02549299283218281,2.327745312543054,-0.0370943951023932,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,2.0,0.11868238913561441,0.026971971328731238,4.400211897348077,-0.0391887902047864,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,3.0,0.1780235837034216,0.029436935489645284,6.047626247169752,-0.04128318530717959,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,4.0,0.23736477827122882,0.03288788531492495,7.217392544345488,-0.043377580409572784,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,5.0,0.296705972839036,0.03732482080457023,7.949293966943999,-0.04547197551196598,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,6.0,0.3560471674068432,0.04274774195858114,8.329028647918342,-0.04756637061435918,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,7.0,0.41538836197465046,0.049156648776957655,8.450298633241353,-0.049660765716752375,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,8.0,0.47472955654245763,0.05655154125969979,8.394635158790326,-0.051755160819145565,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,9.0,0.5340707511102648,0.06493241940680755,8.225024663939637,-0.05384955592153876,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,10.0,0.593411945678072,0.07429928321828091,7.986778875574218,-0.05594395102393196,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,11.0,0.6527531402458792,0.08465213269411989,7.711006438603533,-0.05803834612632515,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,12.0,0.7120943348136864,0.09599096783432454,7.41834727661799,-0.06013274122871835,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,13.0,0.6820943348136864,0.09013537542188954,7.567443211070695,-0.06222713633111154,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,14.0,0.6520943348136865,0.0845317830094546,7.714191178728028,-0.06432153143350475,1665.4832833395706,20357467.05851122
CFD-SK-01,0.3,10000.0,15.0,0.6220943348136865,0.07918019059701964,7.856691555338366,-0.06641592653589792,1665.4832833395706,20357467.05851122
CFD-SK-02,0.8,15000.0,-5.0,-0.2792526803190927,0.06247712951446359,-4.469678464572306,-0.024528024488034025,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,-4.0,-0.2234021442552742,0.057985362889256695,-3.852733398977577,-0.026622419590427222,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,-3.0,-0.16755160819145565,0.0544917666252069,-3.0748059490137605,-0.028716814692820416,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,-2.0,-0.1117010721276371,0.051996340722314176,-2.1482487147350486,-0.030811209795213613,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,-1.0,-0.05585053606381855,0.050499085180578544,-1.1059712441146976,-0.032905604897606806,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,0.0,0.0,0.05,0.0,-0.035,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,1.0,0.05585053606381855,0.050499085180578544,1.1059712441146976,-0.0370943951023932,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,2.0,0.1117010721276371,0.051996340722314176,2.1482487147350486,-0.0391887902047864,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,3.0,0.16755160819145565,0.0544917666252069,3.0748059490137605,-0.04128318530717959,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,4.0,0.2234021442552742,0.057985362889256695,3.852733398977577,-0.043377580409572784,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,5.0,0.2792526803190927,0.06247712951446359,4.469678464572306,-0.04547197551196598,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,6.0,0.3351032163829113,0.06796706650082757,4.9303763371754625,-0.04756637061435918,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,7.0,0.39095375244672986,0.07445517384834863,5.250860782932696,-0.049660765716752375,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,8.0,0.4468042885105484,0.08194145155702678,5.452726062578925,-0.051755160819145565,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,9.0,0.5026548245743669,0.09042589962686201,5.558748396737518,-0.05384955592153876,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,10.0,0.5585053606381855,0.09990851805785433,5.590167600271781,-0.05594395102393196,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,11.0,0.614355896702004,0.11038930685000375,5.565356955604283,-0.05803834612632515,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,12.0,0.6702064327658226,0.12186826600331026,5.499433566631842,-0.06013274122871835,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,13.0,0.6402064327658226,0.11557828424875835,5.539158475375102,-0.06222713633111154,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,14.0,0.6102064327658225,0.10957630249420645,5.568781012647197,-0.06432153143350475,5395.964403377907,25728437.408560675
CFD-SK-02,0.8,15000.0,15.0,0.5802064327658226,0.10386232073965457,5.586303373869251,-0.06641592653589792,5395.964403377907,25728437.408560675
CFD-SK-03,2.0,25000.0,-5.0,-0.19198621771937627,0.08737174155883835,-2.1973491004535814,-0.024528024488034025,7030.8619558145,13007209.747842448
