case_id,mach,altitude_km,static_temperature_K,static_pressure_Pa,density_kg_m3,velocity_m_s,dynamic_pressure_Pa,Reynolds_number_L8m,alpha_reference_deg,CL_screening,CD_screening,L_over_D_screening,lift_kN,drag_kN,stagnation_temperature_K
CFD-SK-01,0.3,10.0,223.14999999999998,26436.2425926916,0.41270615318756876,89.83894946237405,1665.4832833395706,20357467.05851122,5.0,0.296705972839036,0.03732482080457023,7.949293966943999,11.85981210793006,1.4919327624877619,227.1667
CFD-SK-02,0.8,15.0,216.65,12044.563400397115,0.19367362229311477,236.0555948072572,5395.964403377907,25728437.408560675,5.0,0.2792526803190927,0.06247712951446359,4.469678464572306,36.16410054119267,8.090984805246642,244.38120000000004
CFD-SK-03,2.0,25.0,221.65,2511.022127076607,0.0394658000025413,596.9099633603045,7030.8619558145,13007209.747842448,5.0,0.19198621771937627,0.08737174155883835,2.1973491004535814,32.39588626089317,14.74316768974304,398.97
