waste_heat_kW,absorbed_solar_kW,equilibrium_temperature_K,equilibrium_temperature_C
60.0,2.5524198338906756,305.45469406846485,32.30469406846487
65.0,2.5524198338906756,311.38379152499016,38.23379152499018
70.0,2.5524198338906756,316.9923272261947,43.8423272261947
75.0,2.5524198338906756,322.3180397642701,49.168039764270134
80.0,2.5524198338906756,327.39212350181504,54.24212350181506
85.0,2.5524198338906756,332.24068480734365,59.09068480734368
90.0,2.5524198338906756,336.88581070022076,63.73581070022078
95.0,2.5524198338906756,341.34636819222806,68.19636819222808
100.0,2.5524198338906756,345.63861236050485,72.48861236050487
105.0,2.5524198338906756,349.7766559098561,76.62665590985614
110.0,2.5524198338906756,353.77283667769126,80.62283667769128
115.0,2.5524198338906756,357.63800876337666,84.48800876337668
120.0,2.5524198338906756,361.3817756940469,88.23177569404692
125.0,2.5524198338906756,365.01267903717394,91.86267903717396
130.0,2.5524198338906756,368.5383523683772,95.38835236837724
135.0,2.5524198338906756,371.9656480120789,98.8156480120789
140.0,2.5524198338906756,375.30074217495326,102.15074217495328
145.0,2.5524198338906756,378.54922277739155,105.39922277739157
150.0,2.5524198338906756,381.716163314819,108.56616331481905
155.0,2.5524198338906756,384.80618535183385,111.65618535183387
160.0,2.5524198338906756,387.8235117006088,114.6735117006088
165.0,2.5524198338906756,390.77201191357085,117.62201191357087
170.0,2.5524198338906756,393.65524139541895,120.50524139541898
175.0,2.5524198338906756,396.47647518683664,123.32647518683666
180.0,2.5524198338906756,399.2387372741738,126.08873727417381
