node_id,x_mm,y_mm,z_mm,group
93,2500.000,-1200.000,0.000,SPINE
94,2500.000,-848.528,-848.528,SPINE
95,2500.000,-0.000,-1200.000,SPINE
96,2500.000,848.528,-848.528,SPINE
97,4000.000,1200.000,0.000,SPINE
98,4000.000,848.528,848.528,SPINE
99,4000.000,0.000,1200.000,SPINE
100,4000.000,-848.528,848.528,SPINE
101,4000.000,-1200.000,0.000,SPINE
102,4000.000,-848.528,-848.528,SPINE
103,4000.000,-0.000,-1200.000,SPINE
104,4000.000,848.528,-848.528,SPINE
105,6500.000,1200.000,0.000,SPINE
106,6500.000,848.528,848.528,SPINE
107,6500.000,0.000,1200.000,SPINE
108,6500.000,-848.528,848.528,SPINE
109,6500.000,-1200.000,0.000,SPINE
110,6500.000,-848.528,-848.528,SPINE
111,6500.000,-0.000,-1200.000,SPINE
112,6500.000,848.528,-848.528,SPINE
113,9000.000,1200.000,0.000,SPINE
114,9000.000,848.528,848.528,SPINE
115,9000.000,0.000,1200.000,SPINE
116,9000.000,-848.528,848.528,SPINE
117,9000.000,-1200.000,0.000,SPINE
118,9000.000,-848.528,-848.528,SPINE
119,9000.000,-0.000,-1200.000,SPINE
120,9000.000,848.528,-848.528,SPINE
121,11500.000,1200.000,0.000,SPINE
122,11500.000,848.528,848.528,SPINE
123,11500.000,0.000,1200.000,SPINE
124,11500.000,-848.528,848.528,SPINE
125,11500.000,-1200.000,0.000,SPINE
126,11500.000,-848.528,-848.528,SPINE
127,11500.000,-0.000,-1200.000,SPINE
128,11500.000,848.528,-848.528,SPINE
129,14000.000,1200.000,0.000,SPINE
130,14000.000,848.528,848.528,SPINE
131,14000.000,0.000,1200.000,SPINE
132,14000.000,-848.528,848.528,SPINE
133,14000.000,-1200.000,0.000,SPINE
134,14000.000,-848.528,-848.528,SPINE
135,14000.000,-0.000,-1200.000,SPINE
136,14000.000,848.528,-848.528,SPINE
137,15000.000,1200.000,0.000,SPINE
138,15000.000,848.528,848.528,SPINE
139,15000.000,0.000,1200.000,SPINE
140,15000.000,-848.528,848.528,SPINE
141,15000.000,-1200.000,0.000,SPINE
142,15000.000,-848.528,-848.528,SPINE
143,15000.000,-0.000,-1200.000,SPINE
144,15000.000,848.528,-848.528,SPINE
145,16500.000,1200.000,0.000,SPINE
146,16500.000,848.528,848.528,SPINE
147,16500.000,0.000,1200.000,SPINE
148,16500.000,-848.528,848.528,SPINE
149,16500.000,-1200.000,0.000,SPINE
150,16500.000,-848.528,-848.528,SPINE
151,16500.000,-0.000,-1200.000,SPINE
152,16500.000,848.528,-848.528,SPINE
153,19000.000,1200.000,0.000,SPINE
154,19000.000,848.528,848.528,SPINE
155,19000.000,0.000,1200.000,SPINE
156,19000.000,-848.528,848.528,SPINE
157,19000.000,-1200.000,0.000,SPINE
158,19000.000,-848.528,-848.528,SPINE
159,19000.000,-0.000,-1200.000,SPINE
160,19000.000,848.528,-848.528,SPINE
161,21000.000,1200.000,0.000,SPINE
162,21000.000,848.528,848.528,SPINE
163,21000.000,0.000,1200.000,SPINE
164,21000.000,-848.528,848.528,SPINE
165,21000.000,-1200.000,0.000,SPINE
166,21000.000,-848.528,-848.528,SPINE
167,21000.000,-0.000,-1200.000,SPINE
168,21000.000,848.528,-848.528,SPINE
169,-2500.000,12000.000,0.000,RING1_OUTER
170,-2500.000,1039.230,600.000,RING1_INNER
171,-2500.000,10392.305,6000.000,RING1_OUTER
172,-2500.000,600.000,1039.230,RING1_INNER
173,-2500.000,6000.000,10392.305,RING1_OUTER
174,-2500.000,0.000,12000.000,RING1_OUTER
175,-2500.000,-600.000,1039.230,RING1_INNER
176,-2500.000,-6000.000,10392.305,RING1_OUTER
177,-2500.000,-1039.230,600.000,RING1_INNER
178,-2500.000,-10392.305,6000.000,RING1_OUTER
179,-2500.000,-12000.000,0.000,RING1_OUTER
180,-2500.000,-1039.230,-600.000,RING1_INNER
181,-2500.000,-10392.305,-6000.000,RING1_OUTER
182,-2500.000,-600.000,-1039.230,RING1_INNER
183,-2500.000,-6000.000,-10392.305,RING1_OUTER
184,-2500.000,-0.000,-12000.000,RING1_OUTER
185,-2500.000,600.000,-1039.230,RING1_INNER
186,-2500.000,6000.000,-10392.305,RING1_OUTER
187,-2500.000,1039.230,-600.000,RING1_INNER
188,-2500.000,10392.305,-6000.000,RING1_OUTER
189,2500.000,12000.000,0.000,RING2_OUTER
190,2500.000,1039.230,600.000,RING2_INNER
191,2500.000,10392.305,6000.000,RING2_OUTER
192,2500.000,600.000,1039.230,RING2_INNER
193,2500.000,6000.000,10392.305,RING2_OUTER
194,2500.000,0.000,12000.000,RING2_OUTER
195,2500.000,-600.000,1039.230,RING2_INNER
196,2500.000,-6000.000,10392.305,RING2_OUTER
197,2500.000,-1039.230,600.000,RING2_INNER
198,2500.000,-10392.305,6000.000,RING2_OUTER
199,2500.000,-12000.000,0.000,RING2_OUTER
200,2500.000,-1039.230,-600.000,RING2_INNER
201,2500.000,-10392.305,-6000.000,RING2_OUTER
202,2500.000,-600.000,-1039.230,RING2_INNER
203,2500.000,-6000.000,-10392.305,RING2_OUTER
204,2500.000,-0.000,-12000.000,RING2_OUTER
205,2500.000,600.000,-1039.230,RING2_INNER
206,2500.000,6000.000,-10392.305,RING2_OUTER
207,2500.000,1039.230,-600.000,RING2_INNER
208,2500.000,10392.305,-6000.000,RING2_OUTER
209,-16000.000,3200.000,0.000,PROP_MOUNT
