section_id,name,outer_diameter_mm,wall_mm,inner_diameter_mm,area_mm2,I_mm4,J_mm4,radius_gyration_mm,total_length_mm,estimated_mass_kg
1,LONGERON,160.0,6.0,148.000,2902.832,8618507.056,17237014.112,54.489,336000.000,2740.737
2,FRAME,120.0,5.0,110.000,1806.416,2991876.129,5983752.257,40.697,154297.960,783.221
3,DIAGONAL,90.0,4.0,82.000,1080.708,1001275.844,2002551.688,30.438,369395.436,1121.776
4,RING_BEAM,200.0,6.0,188.000,3656.814,17219936.414,34439872.828,68.622,149079.770,1531.891
5,RING_SPOKE,120.0,5.0,110.000,1806.416,2991876.129,5983752.257,40.697,259200.000,1315.707
6,INTERFACE_BOOM,140.0,5.0,130.000,2120.575,4837561.813,9675123.625,47.762,32354.571,192.795
7,DOCK_FRAME,140.0,5.0,130.000,2120.575,4837561.813,9675123.625,47.762,9423.831,56.155
