case_id,total_mass_kg,propellant_mass_kg,payload_mass_kg,cg_x_m,cg_y_m,cg_z_m
DRY_DOCKED,53223.430670,0.000000,0.000000,1.972815,-0.000057,0.000057
10_PERCENT_RESERVE,54423.430670,1200.000000,0.000000,1.730871,-0.000057,0.000057
50_PERCENT_PROPELLANT,59223.430670,6000.000000,0.000000,0.861141,-0.000048,0.000048
FULL_PROPELLANT,65223.430670,12000.000000,0.000000,-0.045998,-0.000048,0.000048
FULL_PROPELLANT_PLUS_3000KG_PAYLOAD,68223.430670,12000.000000,3000.000000,0.659595,-0.000048,0.000048
DRY_WITHOUT_SKIMMER,47723.430670,0.000000,0.000000,-0.738628,-0.000066,0.000066
