characteristic_id,feature,requirement,measured_value,unit,result,instrument_id,inspector,date
C04,bearing seat,Ø95 H7,,mm unless noted,OPEN,,,
C05,seat concentricity,0.04 mm,,mm unless noted,OPEN,,,
